0	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115
1   
2 																																																																																																						
3             6 3 18 3 30 3 42 3 54 3 66 3 78 3 90 3 102 3 114 3																																																																																				
4				  18 4 30 4 42 4 54 4 66 4 78 4 90 4																																																																																																														
5			  6 5 18 5 30 5 42 5 54 5 66 5 78 5 90 5 102 5 114 5																																																																																																			
6				       30 6 42 6 54 6 66 6 78 6 																																																																																																														
7			  6 7 18 7 30 7 42 7 54 7 66 7 78 7 90 7 102 7 114 7																																																																																																															
8					        42 8 54 8 66 8 																																																																																																													
9	          6 9 18 9 30 9 42 9 54 9 66 9 78 9 90 9 102 9 114 9																																																																																																									
10							     54 10 																																																																																																												
11																																																																																																																			
12																																																																																																																			
13																																																																																																																			
14																																																																																																																			
15																																																																																																																			
16																																																																																																																			
17																																																																																																																			
18																																																																																																																			
19																																																																																																																			
20																																																																																																																			
21																																																																																																																			
22																																																																																																																			
23																																																																																																																			
24																																																																																																																			
25																																																																																																																			
26																																																																																																																			
27																																																																																																																			
28																																																																																																																			
29																																																																																																																			
30																																																																																																																			
31																																																																																																																			
32																																																																																																																			
33																																																																																																																			
34																																																																																																																			
35																																																																																																																			
